,Hindi
0,"
           
            रोज़ रोज़ मिलने लगे
            
            और कहने लगे दिल की बात
            
            तुझको ना शर्म थी मुझसे
            
            ना ही कोई ऐतराज़
            
            हम नसीब से मिलने लगे हर बार
            
            तुम लेके चले कभी मुझे उस पार
            
            12 बजे.. 12 बजे..
            
            हम घर से सुबहो करके निकले
            
            12 बजे.. 12 बजे..
            
            घर से निकले हम सुबहो करके
           
           
            किस तरह ऐतबार दुनिया पे
            
            चोर हैं बाज़ारों में
            
            क्या ये ख़ामोशी हंसती रहेगी
            
            हमारे बीच में
            
            अभी भी तो हैं मेरी शामों में
            
            सुबहों की रौशनी
            
            तेरा नशा
            
            बढ़ने लगा
            
            बढ़ता गया मेरी रातों में
           
           
            बारह बजे.. बारह बजे..
            
            हम घर से सुबहो करके निकले
            
            www.hinditracks.in
            
            बारह बजे.. बारह बजे..
            
            घर से निकले हम सुबहो करके
           
           
            दुत्त ओके इतना ज़िन्दगी में
            
            जैसे प्यार के नशे में
            
            कैसी बातें करने लगे
            
            बेवजह हम हँसते रहे
            
            सारी रात सारा दिन में
            
            कुछ ना पता चला
            
            कहाँ गया वो वक़्त
            
            हँसते रहे
            
            गिरते रहे
            
            मरते रहे वो.. हो..
           
           
            12 बजे.. 12 बजे..
            
            हम घर से सुबहो करके निकले
            
            12 बजे.. 12 बजे..
            
            घर से निकले हम सुबहो करके
           
           "
1," 
           ऐ मैं हूँ सोड़ा तूफानी
           
           मैं हूँ कैरम की रानी
           
           मैं हूँ तीखी कचौरी
           
           मुंह में आ जाये पानी हाय
           
           मैं वो माचिस की तिल्ली
           
           जला दूँ बीड़ी मैं गीली
           
           रोउडी मेरे चक्कर में सेंटी हुआ.. हा हा हा हा
          
          "
2," 
           ए हे..
          
          "
3," 
           [मांगने से कब मिलता है
           
           छीनने से सब मिलता है ]x ८
           
           [जैसा तुम चाहोगे… ]x ५
           
           [जैसा तुम चाहोगे…
           
           वैसा ही रब मिलता… ]x ३
           
           [जैसा तुम चाहोगे वैसा
          
          
           [स स सत्या…]x ४
          
          
           [म्यान से निकलती है
           
           रूहों पे लगती है ]x ४
          
          
           [सदियों तलक फिर…]x ५
          
          
           [सदियों तलक ज़िन्दगी ये सुलगती है ]x ४
          
          
           [स स सत्या…]x ४
          
          
           [डर की हुकूमत है
           
           डर की ज़रुरत है ]x ४
          
          
           [डर के ही आगे तो ]x ५
          
          
           [डर के ही आगे जहां खुबसूरत है ] x ३
           
           डर के ही आगे जहां
          
          
           [स स सत्या…]x ८
           
           सत्या… सत्या… सत्या… सत्या…
          
          "
4,"
           (तुम थे यहीं, फिर भी तुम गुम थे
           
           और मैं लापता
           
           अब जो मिले हो तो
           
           साथी में रह जाओ ना) x 2
           
            थोड़े थोड़े से पुरे
            
            और थोड़े अधूरे ये
            
            वादे रहे क्या पता
            
            पुरे होंगे कई ख्वाब
            
            रह जायेंगे कुछ अधूरे
            
            अभी क्या पता
           
           
            (आ जाओ ना
            
            आ जाओ ना
            
            आ जाओ
            
            इतना भी क्या सोचना) x 2
           
           
            थोड़ा सही इक दुसरे में
            
            आ रह ले कहीं
            
            आ जी भी ले
            
            कब क्यूँ कहाँ
            
            कैसे सोंचे नहीं
           
           
            आ चल वादों के भटके हुए
            
            जुगनूओं को दिखा दें सही रास्ता
            
            आ चल सोते सितारों को
            
            होले से सहला के रोशन करें आसमां
           
           
            (आ जाओ ना
            
            आ जाओ ना
            
            आ जाओ
            
            इतना भी क्या सोचना) x 2
           
           
            आ.. ओ..
           
           
            शामें कई होंगी ठहरी हुई
            
            बातें कई होंगी रूठी हुई
            
            छोटी सी जिद्द होगी
            
            लम्बी सी रातें
            
            फिर भी प्यार रह जायेगा
           
           
            रहता हमेशा तो कुछ भी नहीं
            
            फिर भी न जाने क्यूँ मुझ्को यकीं
            
            सब बिताने पर भी
            
            सब छूटने पर भी
            
            ये प्यार रह जायेगा
           
           
            तुम थे यहीं, फिर भी गुम थे
            
            और मैं लापता
            
            अब जो मिले हो तो
            
            साथी में रह जाओ ना
           
           
            थोड़े थोड़े से पुरे
            
            और थोड़े अधूरे ये
            
            वादे रहे क्या पता
            
            पुरे होंगे कई ख्वाब
            
            रह जायेंगे कुछ अधूरे
            
            अभी क्या पता
           
           
            (आ जाओ ना
            
            आ जाओ ना
            
            आ जाओ
            
            इतना भी क्या सोचना) x 3
           
           
"
5," 
           अये…बंकस
           
           आ रे प्रीतम प्यारे
           
           बंदूक में ना तो गोली मेरे
          
          
           आ रे प्रीतम प्यारे
           
           बंदूक में ना तो गोली मेरे
          
          
           आ रे प्रीतम प्यारे
           
           बंदूक में ना तो गोली मेरे
           
           सब आग तो मेरे कुर्ती में रे
           
           ज़रा हुक्का उठा
           
           ज़र्रा चिल्लम जला
           
           
           पल्लू के नीचे छुपा के रखा है
           
           उठा दूं तो हंगामा हो
           
           पल्लू के नीचे दबा\xa0के रखा है
           
           उठा दूं तो हंगामा हो
           
           बंकास…
           
           
           जोबन से अपने पल्लू हटा दूं तो
           
           कौले कांवरों का चेहरा खिले
           
           
           हाय मैं आँख मारूं तो
           
           नोटों की बारिश हो
           
           लॉक जो हिला दूं तो झिल्ला हिले
           
           झिल्ला हिले हिले हिले हिले हिले
           
           झिल्ला हिले\xa0हिले हिले हिले हिले
           
           झिल्ला हिले\xa0हिले हिले हिले हिले
           
           ज़रा टूंटी बजा ज़रा ठुमका लगा
           
           
           पल्लू के नीचे छुपा के रखा है
           
           उठा दूं तो हंगामा हो हो हो हो
           
           पल्लू के नीचे दबा\xa0के रखा है
           
           उठा दूं तो हंगामा हो
           
           बंकास..
          
"
6," 
           तुम रूबरू जो यूँ आ गए हो
           
           हमको ना जाने क्या हो गया
           
           आँखों से ये दिल धड़का रहे हो
           
           सीखा कहाँ से जादू नयासाए सा तेरा साथ हूँ मैं हर कहीं
           
           तेरे बिन मैं हूँ भी क्या कुछ भी नहीं
           
           आफरीन, आफरीन, आफरीन, आफरीन
           
           आफरीन, आफरीन, आफरीन, आफरीन..
          
          
           बेखबर हम रहे वक़्त से आफरीन
           
           उम्र भर हम रहे बस यूँही आफरीन
           
           आफरीन, आफरीन, आफरीन, आफरीन
           
           आफरीन, आफरीन, आफरीन, आफरीन..
          
          
           तू जो है मेरे पास में
           
           और चहुँ कुछ भी मैं यहाँ
           
           जब तू हँसे मेरे वास्ते
           
           मैं बिछा दूंगी वहां मेरी जान
          
          
           साए सा तेरे साथ हूँ मैं हर कहीं
           
           तेरे बिन मैं हूँ भी क्या कुछ भी नहीं
           
           आफरीन, आफरीन, आफरीन, आफरीन
           
           आफरीन, आफरीन, आफरीन, आफरीन..
          
          
           बेखबर हम रहे वक़्त से आफरीन
           
           उम्र भर हम रहे बस यूँही आफरीन
           
           आफरीन, आफरीन, आफरीन, आफरीन
           
           आफरीन, आफरीन, आफरीन, आफरीन"
7,"
           तुम मेरे हो रहे
           
           या हो गए
           
           या है फ़ासला
           
           पूछे दिल तो कहूँ मैं क्या भला
           
            दिल सवाल से ही ना दे रुला
            
            होता क्या है आहिस्ता आहिस्ता
           
           
            मेरे होना आहिस्ता आहिस्ता
           
           
            मैंने बात ये तुमसे कहनी है
            
            तेरा प्यार ख़ुशी की टहनी है
           
           
            मैं शाम सहर अब हँसता हूँ
            
            मैंने याद तुम्हारी पहनी है
           
           
            मेरे होना आहिस्ता आहिस्ता
            
            होना क्या है आहिस्ता आहिस्ता
           
           "
8," 
           आइन्दा से
           
           हम दा इस जहाँ से
           
           दुआ से, दजुआ से बेखबर
           
           आइन्दा से
           
           हम फना इस तरह से
           
           रिहा कारवाँ से इस क़दर
          
          
           आइन्दा मेरे दिन तुम्ही से
           
           है रौशनी तुम्ही से रात भर
          
          
           दुनिया से परे
           
           हवाओं से लड़े
           
           तेरी आँखों में जिए
           
           तेरे होंठों पे मरे
          
          
           दुनिया से परे
           
           फलक से यूँ जुड़े
           
           तेरी बाहों में जिए
           
           तेरी बाहों में मरे
           
           दुनिया से परे..
           
           आ ओ..
          
          
           आइन्दा से
           
           वक़्त भी इक तरह से
           
           मेहेरबान सा रहेगा इश्क पर
          
          
           ओ.. आइन्दा से
           
           मंजिलें रास्तों पे
           
           फैसले रास्तों पे हमसफ़र
           
           ओ.. आइन्दा इल्तेजा तुम्ही से
           
           हाँ हर वजह तुम्ही से
           
           उम भर..
          
          
           दुनिया से परे
           
           हवाओं से लड़े
           
           तेरी आँखों में जिए
           
           तेरे होंठों पे मरे
          
          
           दुनिया से परे
           
           फलक से यूँ जुड़े
           
           तेरी बाहों में जिए
           
           तेरी बाहों में मरे
           
           ओ..
           
           दुनिया से परे..
          
          
          
          "
9,"
           बात बस से निकल चली है
           
           दिल की हालत संभल चली है
           
           अब जूनून हद से बढ़ चला है
           
           अब तबियत बेहाल चली है
           
            यूँही पहलु में बैठे रहो
            
            यूँही पहलु में बैठे रहो
            
            आज जाने की..
            
            आज जाने की जिद ना करो
            
            आज जाने की जिद ना करो
           
           
            लाख पैगाम हो गए हैं
            
            जब सबा एक पल चली है
            
            जाओ अब सो रहो सितारों
            
            दर्द की रात अब ढल चली है
           
           
            यूँही पहलु में बैठे रहो
            
            यूँही पहलु में बैठे रहो
            
            आज जाने की..
            
            आज जाने की जिद ना करो
            
            आज जाने की जिद ना करो
            
            जिद ना, जिद ना करो
            
            जिद ना, जिद ना करो
            
            जिद ना करो
            
            जिद ना, जिद ना करो
           
           
            हाय मर जायेंगे
            
            हम तो लुट जायेंगे
            
            ऐसी बातें किया ना करो
            
            आज जाने की जिद ना करो
            
            आज जाने की जिद ना करो
           
           "
