,Unnamed: 0,Hindi,English
0,0,"रोज़ रोज़ मिलने लगे
 
 और कहने लगे दिल की बात
 
 तुझको ना शर्म थी मुझसे
 
 ना ही कोई ऐतराज़
 
 हम नसीब से मिलने लगे हर बार
 
 तुम लेके चले कभी मुझे उस पार
 
 12 बजे 12 बजे
 
 हम घर से सुबहो करके निकले
 
 12 बजे 12 बजे
 
 घर से निकले हम सुबहो करके
 
 
 किस तरह ऐतबार दुनिया पे
 
 चोर हैं बाज़ारों में
 
 क्या ये ख़ामोशी हंसती रहेगी
 
 हमारे बीच में
 
 अभी भी तो हैं मेरी शामों में
 
 सुबहों की रौशनी
 
 तेरा नशा
 
 बढ़ने लगा
 
 बढ़ता गया मेरी रातों में
 
 
 बारह बजे बारह बजे
 
 हम घर से सुबहो करके निकले
 
 
 
 बारह बजे बारह बजे
 
 घर से निकले हम सुबहो करके
 
 
 दुत्त ओके इतना ज़िन्दगी में
 
 जैसे प्यार के नशे में
 
 कैसी बातें करने लगे
 
 बेवजह हम हँसते रहे
 
 सारी रात सारा दिन में
 
 कुछ ना पता चला
 
 कहाँ गया वो वक़्त
 
 हँसते रहे
 
 गिरते रहे
 
 मरते रहे वो हो
 
 
 12 बजे 12 बजे
 
 हम घर से सुबहो करके निकले
 
 12 बजे 12 बजे
 
 घर से निकले हम सुबहो करके","started meeting everyday
 
 And started speaking from the heart
 
 you weren't ashamed of me
 
 nor any objection
 
 We started getting lucky every time
 
 Do you ever take me across the other side?
 
 12 o'clock 12 o'clock
 
 we left home early in the morning
 
 12 o'clock 12 o'clock
 
 we left the house early in the morning
 
 
 how to trust the world
 
 there are thieves in the markets
 
 Will this silence keep laughing?
 
 among us
 
 are still there in my evenings
 
 morning light
 
 your intoxication
 
 started increasing
 
 growing in my nights
 
 
 twelve o'clock twelve o'clock
 
 we left home early in the morning
 
 
 
 twelve o'clock twelve o'clock
 
 we left the house early in the morning
 
 
 Dutt ok itna zindagi mein
 
 like drunk with love
 
 what kind of things did they start talking about?
 
 we kept laughing without any reason
 
 all night all day long
 
 nothing was found
 
 where did that time go
 
 keep laughing
 
 keep falling
 
 keep on dying
 
 
 12 o'clock 12 o'clock
 
 we left home early in the morning
 
 12 o'clock 12 o'clock
 
 we left the house early in the morning"
1,1,"ऐ मैं हूँ सोड़ा तूफानी
 
 मैं हूँ कैरम की रानी
 
 मैं हूँ तीखी कचौरी
 
 मुंह में आ जाये पानी हाय
 
 मैं वो माचिस की तिल्ली
 
 जला दूँ बीड़ी मैं गीली
 
 रोउडी मेरे चक्कर में सेंटी हुआ हा हा हा हा","Hey I am Soda Stormi
 
 I am the queen of carrom
 
 I am spicy kachori
 
 mouth watering hi
 
 I am that matchstick.
 
 I will burn the wet beedi
 
 Rowdy got crazy about me ha ha ha ha"
2,2,ए हे,a hey
3,3,"मांगने से कब मिलता है
 
 छीनने से सब मिलता है 
 
 जैसा तुम चाहोगे… 
 
 जैसा तुम चाहोगे…
 
 वैसा ही रब मिलता… 
 
 जैसा तुम चाहोगे वैसा
 
 
 स स सत्या… 
 
 
 म्यान से निकलती है
 
 रूहों पे लगती है 
 
 
 सदियों तलक फिर… 
 
 
 सदियों तलक ज़िन्दगी ये सुलगती है 
 
 
 स स सत्या… 
 
 
 डर की हुकूमत है
 
 डर की ज़रुरत है 
 
 
 डर के ही आगे तो 
 
 
 डर के ही आगे जहां खुबसूरत है 
 
 डर के ही आगे जहां
 
 
 स स सत्या… 
 
 सत्या… सत्या… सत्या… सत्या…","When do you get it after asking?
 
 everything is achieved by snatching
 
 As you wish…
 
 As you wish…
 
 You get the same kind of God...
 
 as you wish
 
 
 Ss Satya…
 
 
 emerges from the sheath
 
 it affects the souls
 
 
 For centuries again…
 
 
 This life burns for centuries
 
 
 Ss Satya…
 
 
 fear rules
 
 need to fear
 
 
 ahead of fear
 
 
 Where there is beauty beyond fear
 
 ahead of fear
 
 
 Ss Satya…
 
 Satya… Satya… Satya… Satya…"
4,4,"तुम थे यहीं फिर भी तुम गुम थे
 
 और मैं लापता
 
 अब जो मिले हो तो
 
 साथी में रह जाओ ना 2
 
 थोड़े थोड़े से पुरे
 
 और थोड़े अधूरे ये
 
 वादे रहे क्या पता
 
 पुरे होंगे कई ख्वाब
 
 रह जायेंगे कुछ अधूरे
 
 अभी क्या पता
 
 
 आ जाओ ना
 
 आ जाओ ना
 
 आ जाओ
 
 इतना भी क्या सोचना 2
 
 
 थोड़ा सही इक दुसरे में
 
 आ रह ले कहीं
 
 आ जी भी ले
 
 कब क्यूँ कहाँ
 
 कैसे सोंचे नहीं
 
 
 आ चल वादों के भटके हुए
 
 जुगनूओं को दिखा दें सही रास्ता
 
 आ चल सोते सितारों को
 
 होले से सहला के रोशन करें आसमां
 
 
 आ जाओ ना
 
 आ जाओ ना
 
 आ जाओ
 
 इतना भी क्या सोचना 2
 
 
 आ ओ
 
 
 शामें कई होंगी ठहरी हुई
 
 बातें कई होंगी रूठी हुई
 
 छोटी सी जिद्द होगी
 
 लम्बी सी रातें
 
 फिर भी प्यार रह जायेगा
 
 
 रहता हमेशा तो कुछ भी नहीं
 
 फिर भी न जाने क्यूँ मुझ्को यकीं
 
 सब बिताने पर भी
 
 सब छूटने पर भी
 
 ये प्यार रह जायेगा
 
 
 तुम थे यहीं फिर भी गुम थे
 
 और मैं लापता
 
 अब जो मिले हो तो
 
 साथी में रह जाओ ना
 
 
 थोड़े थोड़े से पुरे
 
 और थोड़े अधूरे ये
 
 वादे रहे क्या पता
 
 पुरे होंगे कई ख्वाब
 
 रह जायेंगे कुछ अधूरे
 
 अभी क्या पता
 
 
 आ जाओ ना
 
 आ जाओ ना
 
 आ जाओ
 
 इतना भी क्या सोचना 3","you were here yet you were missing
 
 and i missing
 
 Now if you have met me
 
 stay with partner na 2
 
 little bit whole
 
 And this is a little incomplete
 
 Who knows if the promises remain?
 
 many dreams will come true
 
 something will remain incomplete
 
 what do you know right now
 
 
 come over
 
 come over
 
 Come on
 
 why even think so much 2
 
 
 a little right in each other
 
 come and take me somewhere
 
 come and take it
 
 when why where
 
 how not to think
 
 
 Come on, lost in promises
 
 Show the fireflies the right path
 
 Come let's see the sleeping stars
 
 Light up the sky with Holi
 
 
 come over
 
 come over
 
 Come on
 
 why even think so much 2
 
 
 Come
 
 
 many evenings will be spent
 
 many things must be boring
 
 there will be a little stubbornness
 
 long nights
 
 love will still remain
 
 
 nothing lasts forever
 
 Still don't know why you believe me
 
 even after spending everything
 
 even after losing everything
 
 this love will remain
 
 
 you were here yet missing
 
 and i missing
 
 Now if you have met me
 
 stay with your partner
 
 
 little bit whole
 
 And this is a little incomplete
 
 Who knows if the promises remain?
 
 many dreams will come true
 
 something will remain incomplete
 
 who knows right now
 
 
 come over
 
 come over
 
 Come on
 
 why even think so much 3"
5,5,"अये…बंकस
 
 आ रे प्रीतम प्यारे
 
 बंदूक में ना तो गोली मेरे
 
 
 आ रे प्रीतम प्यारे
 
 बंदूक में ना तो गोली मेरे
 
 
 आ रे प्रीतम प्यारे
 
 बंदूक में ना तो गोली मेरे
 
 सब आग तो मेरे कुर्ती में रे
 
 ज़रा हुक्का उठा
 
 ज़र्रा चिल्लम जला
 
 
 पल्लू के नीचे छुपा के रखा है
 
 उठा दूं तो हंगामा हो
 
 पल्लू के नीचे दबाa0के रखा है
 
 उठा दूं तो हंगामा हो
 
 बंकास…
 
 
 जोबन से अपने पल्लू हटा दूं तो
 
 कौले कांवरों का चेहरा खिले
 
 
 हाय मैं आँख मारूं तो
 
 नोटों की बारिश हो
 
 लॉक जो हिला दूं तो झिल्ला हिले
 
 झिल्ला हिले हिले हिले हिले हिले
 
 झिल्ला हिलेa0हिले हिले हिले हिले
 
 झिल्ला हिलेa0हिले हिले हिले हिले
 
 ज़रा टूंटी बजा ज़रा ठुमका लगा
 
 
 पल्लू के नीचे छुपा के रखा है
 
 उठा दूं तो हंगामा हो हो हो हो
 
 पल्लू के नीचे दबाa0के रखा है
 
 उठा दूं तो हंगामा हो
 
 बंकास","Aye…Bunkass
 
 Come on dear love
 
 There is no bullet in my gun
 
 
 Come on dear love
 
 There is no bullet in my gun
 
 
 Come on dear love
 
 There is no bullet in my gun
 
 all the fire is in my kurti
 
 pick up some hookah
 
 burn a little chillum
 
 
 hidden under the pallu
 
 If I lift it, there will be an uproar
 
 Tucked under the pallu
 
 If I lift it, there will be an uproar
 
 Bankas…
 
 
 If I remove my pallu from my job
 
 The faces of Kaule Kanwars blossomed
 
 
 hi if i wink
 
 it rains notes
 
 If I move the lock, the membrane will move.
 
 shake shake shake shake shake
 
 Jhilla Hilea0Hile Hile Hile Hile
 
 Jhilla Hilea0Hile Hile Hile Hile
 
 I played a little trumpet and danced a little.
 
 
 hidden under the pallu
 
 If I pick it up, there will be an uproar ho ho ho
 
 Tucked under the pallu
 
 If I lift it, there will be an uproar.
 
 Bankas"
6,6,"तुम रूबरू जो यूँ आ गए हो
 
 हमको ना जाने क्या हो गया
 
 आँखों से ये दिल धड़का रहे हो
 
 सीखा कहाँ से जादू नयासाए सा तेरा साथ हूँ मैं हर कहीं
 
 तेरे बिन मैं हूँ भी क्या कुछ भी नहीं
 
 आफरीन आफरीन आफरीन आफरीन
 
 आफरीन आफरीन आफरीन आफरीन
 
 
 बेखबर हम रहे वक़्त से आफरीन
 
 उम्र भर हम रहे बस यूँही आफरीन
 
 आफरीन आफरीन आफरीन आफरीन
 
 आफरीन आफरीन आफरीन आफरीन
 
 
 तू जो है मेरे पास में
 
 और चहुँ कुछ भी मैं यहाँ
 
 जब तू हँसे मेरे वास्ते
 
 मैं बिछा दूंगी वहां मेरी जान
 
 
 साए सा तेरे साथ हूँ मैं हर कहीं
 
 तेरे बिन मैं हूँ भी क्या कुछ भी नहीं
 
 आफरीन आफरीन आफरीन आफरीन
 
 आफरीन आफरीन आफरीन आफरीन
 
 
 बेखबर हम रहे वक़्त से आफरीन
 
 उम्र भर हम रहे बस यूँही आफरीन
 
 आफरीन आफरीन आफरीन आफरीन
 
 आफरीन आफरीन आफरीन आफरीन","you who have come here face to face
 
 I don't know what happened to us
 
 This heart is beating through your eyes
 
 Where did I learn magic from? I am with you everywhere like a new shadow.
 
 Am I nothing without you?
 
 Afrin Afrin Afrin Afrin
 
 Afrin Afrin Afrin Afrin
 
 
 We have been unaware of time, Afrin
 
 We remained like this in Afrin all our lives.
 
 Afrin Afrin Afrin Afrin
 
 Afrin Afrin Afrin Afrin
 
 
 you who are with me
 
 And I want anything here
 
 when you laugh for me
 
 I will lay down my life there
 
 
 Like a shadow, I am with you everywhere
 
 Am I nothing without you?
 
 Afrin Afrin Afrin Afrin
 
 Afrin Afrin Afrin Afrin
 
 
 We have been unaware of time, Afrin
 
 We remained like this all our life, Afrin
 
 Afrin Afrin Afrin Afrin
 
 Afrin Afrin Afrin Afrin"
7,7,"तुम मेरे हो रहे
 
 या हो गए
 
 या है फ़ासला
 
 पूछे दिल तो कहूँ मैं क्या भला
 
 दिल सवाल से ही ना दे रुला
 
 होता क्या है आहिस्ता आहिस्ता
 
 
 मेरे होना आहिस्ता आहिस्ता
 
 
 मैंने बात ये तुमसे कहनी है
 
 तेरा प्यार ख़ुशी की टहनी है
 
 
 मैं शाम सहर अब हँसता हूँ
 
 मैंने याद तुम्हारी पहनी है
 
 
 मेरे होना आहिस्ता आहिस्ता
 
 होना क्या है आहिस्ता आहिस्ता","you are becoming mine
 
 or become
 
 or is the distance
 
 What good can I say if my heart asks?
 
 Don't make your heart cry just by asking a question
 
 What happens slowly
 
 
 be mine slowly
 
 
 I have this thing to tell you
 
 your love is a branch of happiness
 
 
 I laugh now in the evening
 
 I remember you
 
 
 be mine slowly
 
 what is to happen slowly"
8,8,"आइन्दा से
 
 हम दा इस जहाँ से
 
 दुआ से दजुआ से बेखबर
 
 आइन्दा से
 
 हम फना इस तरह से
 
 रिहा कारवाँ से इस क़दर
 
 
 आइन्दा मेरे दिन तुम्ही से
 
 है रौशनी तुम्ही से रात भर
 
 
 दुनिया से परे
 
 हवाओं से लड़े
 
 तेरी आँखों में जिए
 
 तेरे होंठों पे मरे
 
 
 दुनिया से परे
 
 फलक से यूँ जुड़े
 
 तेरी बाहों में जिए
 
 तेरी बाहों में मरे
 
 दुनिया से परे
 
 आ ओ
 
 
 आइन्दा से
 
 वक़्त भी इक तरह से
 
 मेहेरबान सा रहेगा इश्क पर
 
 
 ओ आइन्दा से
 
 मंजिलें रास्तों पे
 
 फैसले रास्तों पे हमसफ़र
 
 ओ आइन्दा इल्तेजा तुम्ही से
 
 हाँ हर वजह तुम्ही से
 
 उम भर
 
 
 दुनिया से परे
 
 हवाओं से लड़े
 
 तेरी आँखों में जिए
 
 तेरे होंठों पे मरे
 
 
 दुनिया से परे
 
 फलक से यूँ जुड़े
 
 तेरी बाहों में जिए
 
 तेरी बाहों में मरे
 
 ओ
 
 दुनिया से परे","from now on
 
 We are from this place
 
 Dua oblivious to dajua
 
 from now on
 
 we perish like this
 
 released from the caravan this way
 
 
 my days will come with you
 
 You are the light all night long
 
 
 beyond the world
 
 fight the winds
 
 live in your eyes
 
 die on your lips
 
 
 beyond the world
 
 connect to panel like this
 
 live in your arms
 
 died in your arms
 
 beyond the world
 
 Come
 
 
 from now on
 
 time also in a way
 
 Will be kind to love
 
 
 oh from now on
 
 floors on roads
 
 Companions on the path of decisions
 
 O next request to you
 
 yes every reason because of you
 
 um full
 
 
 beyond the world
 
 fight the winds
 
 live in your eyes
 
 die on your lips
 
 
 beyond the world
 
 connect to panel like this
 
 live in your arms
 
 died in your arms
 
 O!
 
 beyond the world"
9,9,"बात बस से निकल चली है
 
 दिल की हालत संभल चली है
 
 अब जूनून हद से बढ़ चला है
 
 अब तबियत बेहाल चली है
 
 यूँही पहलु में बैठे रहो
 
 यूँही पहलु में बैठे रहो
 
 आज जाने की
 
 आज जाने की जिद ना करो
 
 आज जाने की जिद ना करो
 
 
 लाख पैगाम हो गए हैं
 
 जब सबा एक पल चली है
 
 जाओ अब सो रहो सितारों
 
 दर्द की रात अब ढल चली है
 
 
 यूँही पहलु में बैठे रहो
 
 यूँही पहलु में बैठे रहो
 
 आज जाने की
 
 आज जाने की जिद ना करो
 
 आज जाने की जिद ना करो
 
 जिद ना जिद ना करो
 
 जिद ना जिद ना करो
 
 जिद ना करो
 
 जिद ना जिद ना करो
 
 
 हाय मर जायेंगे
 
 हम तो लुट जायेंगे
 
 ऐसी बातें किया ना करो
 
 आज जाने की जिद ना करो
 
 आज जाने की जिद ना करो","word has just spread
 
 my heart condition has improved
 
 Now the passion has gone beyond limits
 
 I am not feeling well now
 
 keep sitting idle
 
 keep sitting idle
 
 to go today
 
 don't insist on going today
 
 don't insist on going today
 
 
 there have been millions of messages
 
 When Saba is gone for a moment
 
 go to sleep now stars
 
 The night of pain has now ended
 
 
 keep sitting idle
 
 keep sitting idle
 
 to go today
 
 don't insist on going today
 
 don't insist on going today
 
 don't insist don't insist
 
 don't insist don't insist
 
 don't insist
 
 don't insist don't insist
 
 
 hey we will die
 
 we will be robbed
 
 don't say such things
 
 don't insist on going today
 
 don't insist on going today"
